"","structure","correlation","num_dim","replicate","factor","pearson","spearman","theta_cor"
"243","Complex",0,3,1,"F3",0.963,0.9773,0.8419
"244","Complex",0,3,2,"F1",0.9725,0.9912,0.871
"245","Complex",0,3,2,"F2",0.971,0.9852,0.8629
"246","Complex",0,3,2,"F3",0.9514,0.9587,0.794
"247","Complex",0,3,3,"F1",0.9704,0.989,0.87
"248","Complex",0,3,3,"F2",0.9454,0.9541,0.7985
"249","Complex",0,3,3,"F3",0.9663,0.9874,0.8855
"250","Complex",0,3,4,"F1",0.9664,0.9804,0.8479
"251","Complex",0,3,4,"F2",0.9644,0.9795,0.8518
"252","Complex",0,3,4,"F3",0.9558,0.9696,0.8317
"253","Complex",0,3,5,"F1",0.9671,0.9804,0.8437
"254","Complex",0,3,5,"F2",0.9681,0.9844,0.8528
"255","Complex",0,3,5,"F3",0.9547,0.9642,0.8365
"256","Complex",0,3,6,"F1",0.961,0.9755,0.8469
"257","Complex",0,3,6,"F2",0.9678,0.9841,0.8634
"258","Complex",0,3,6,"F3",0.9713,0.9825,0.8375
"259","Complex",0,3,7,"F1",0.9638,0.9813,0.856
"260","Complex",0,3,7,"F2",0.9557,0.9732,0.852
"261","Complex",0,3,7,"F3",0.962,0.9763,0.8587
"262","Complex",0,3,8,"F1",0.9648,0.9795,0.8525
"263","Complex",0,3,8,"F2",0.9664,0.983,0.8535
"264","Complex",0,3,8,"F3",0.9546,0.9671,0.8306
"265","Complex",0,3,9,"F1",0.9647,0.9836,0.8747
"266","Complex",0,3,9,"F2",0.9588,0.9725,0.8331
"267","Complex",0,3,9,"F3",0.9674,0.9832,0.8629
"268","Complex",0,3,10,"F1",0.9646,0.9755,0.8258
"269","Complex",0,3,10,"F2",0.9714,0.9897,0.8807
"270","Complex",0,3,10,"F3",0.965,0.9769,0.8326
"271","Complex",0,5,1,"F1",0.9818,0.9921,0.8222
"272","Complex",0,5,1,"F2",0.9781,0.9879,0.8353
"273","Complex",0,5,1,"F3",0.971,0.9803,0.7817
"274","Complex",0,5,1,"F4",0.9749,0.9822,0.7795
"275","Complex",0,5,1,"F5",0.9707,0.9786,0.7901
"276","Complex",0,5,2,"F1",0.9742,0.9825,0.7926
"277","Complex",0,5,2,"F2",0.967,0.975,0.7598
"278","Complex",0,5,2,"F3",0.9786,0.9913,0.8481
"279","Complex",0,5,2,"F4",0.975,0.9855,0.8172
"280","Complex",0,5,2,"F5",0.9776,0.989,0.8268
"281","Complex",0,5,3,"F1",0.9777,0.9854,0.7847
"282","Complex",0,5,3,"F2",0.9798,0.9897,0.8067
"283","Complex",0,5,3,"F3",0.977,0.9886,0.8269
"284","Complex",0,5,3,"F4",0.9754,0.9859,0.8182
"285","Complex",0,5,3,"F5",0.9682,0.9774,0.7845
"286","Complex",0,5,4,"F1",0.978,0.9848,0.7779
"287","Complex",0,5,4,"F2",0.9776,0.987,0.8181
"288","Complex",0,5,4,"F3",0.9751,0.9834,0.7889
"289","Complex",0,5,4,"F4",0.979,0.9904,0.8437
"290","Complex",0,5,4,"F5",0.9781,0.9917,0.8443
"291","Complex",0,5,5,"F1",0.9759,0.9858,0.8273
"292","Complex",0,5,5,"F2",0.9776,0.9866,0.8093
"293","Complex",0,5,5,"F3",0.9737,0.9858,0.8478
"294","Complex",0,5,5,"F4",0.9729,0.9841,0.8256
"295","Complex",0,5,5,"F5",0.9693,0.9784,0.8019
"296","Complex",0,5,6,"F1",0.9769,0.9814,0.7527
"297","Complex",0,5,6,"F2",0.9751,0.9826,0.7901
"298","Complex",0,5,6,"F3",0.9749,0.9839,0.8022
"299","Complex",0,5,6,"F4",0.9768,0.9894,0.8253
"300","Complex",0,5,6,"F5",0.9786,0.9916,0.8397
"301","Complex",0,5,7,"F1",0.9684,0.9774,0.7899
"302","Complex",0,5,7,"F2",0.9759,0.9837,0.8003
"303","Complex",0,5,7,"F3",0.9775,0.987,0.8166
"304","Complex",0,5,7,"F4",0.9721,0.9808,0.7815
"305","Complex",0,5,7,"F5",0.974,0.9837,0.8184
"306","Complex",0,5,8,"F1",0.9759,0.985,0.8091
"307","Complex",0,5,8,"F2",0.9772,0.9906,0.8372
"308","Complex",0,5,8,"F3",0.9751,0.9846,0.829
"309","Complex",0,5,8,"F4",0.973,0.9835,0.8066
"310","Complex",0,5,8,"F5",0.979,0.9913,0.8386
"311","Complex",0,5,9,"F1",0.9771,0.9845,0.812
"312","Complex",0,5,9,"F2",0.9793,0.9921,0.8332
"313","Complex",0,5,9,"F3",0.9782,0.9863,0.7921
"314","Complex",0,5,9,"F4",0.975,0.9858,0.8101
"315","Complex",0,5,9,"F5",0.9768,0.9843,0.7797
"316","Complex",0,5,10,"F1",0.9635,0.9715,0.7712
"317","Complex",0,5,10,"F2",0.9746,0.986,0.8072
"318","Complex",0,5,10,"F3",0.9706,0.978,0.7653
"319","Complex",0,5,10,"F4",0.979,0.9872,0.7991
"320","Complex",0,5,10,"F5",0.9778,0.9919,0.8393
"321","Complex",0.3,3,1,"F1",0.9679,0.9844,0.8546
"322","Complex",0.3,3,1,"F2",0.9748,0.9867,0.8496
"323","Complex",0.3,3,1,"F3",0.9673,0.9811,0.8501
"324","Complex",0.3,3,2,"F1",0.9705,0.9884,0.8624
"325","Complex",0.3,3,2,"F2",0.9676,0.9821,0.8524
"326","Complex",0.3,3,2,"F3",0.9748,0.9891,0.8626
"327","Complex",0.3,3,3,"F1",0.9684,0.9865,0.8712
"328","Complex",0.3,3,3,"F2",0.9687,0.9896,0.8693
"329","Complex",0.3,3,3,"F3",0.9674,0.9816,0.8648
"330","Complex",0.3,3,4,"F1",0.9676,0.9785,0.8516
"331","Complex",0.3,3,4,"F2",0.9723,0.9876,0.8673
"332","Complex",0.3,3,4,"F3",0.9686,0.9814,0.8409
"333","Complex",0.3,3,5,"F1",0.9683,0.9839,0.8612
"334","Complex",0.3,3,5,"F2",0.9714,0.9882,0.8537
"335","Complex",0.3,3,5,"F3",0.9731,0.9867,0.8516
"336","Complex",0.3,3,6,"F1",0.974,0.9876,0.8403
"337","Complex",0.3,3,6,"F2",0.9733,0.9877,0.8339
"338","Complex",0.3,3,6,"F3",0.9767,0.9902,0.8446
"339","Complex",0.3,3,7,"F1",0.9686,0.99,0.8806
"340","Complex",0.3,3,7,"F2",0.9675,0.9849,0.845
"341","Complex",0.3,3,7,"F3",0.9692,0.9848,0.8621
"342","Complex",0.3,3,8,"F1",0.972,0.9875,0.8647
"343","Complex",0.3,3,8,"F2",0.967,0.986,0.8694
"344","Complex",0.3,3,8,"F3",0.9691,0.9833,0.8466
"345","Complex",0.3,3,9,"F1",0.9729,0.9905,0.8731
"346","Complex",0.3,3,9,"F2",0.9742,0.9878,0.8646
"347","Complex",0.3,3,9,"F3",0.9724,0.985,0.8394
"348","Complex",0.3,3,10,"F1",0.9714,0.9866,0.8428
"349","Complex",0.3,3,10,"F2",0.9742,0.9872,0.842
"350","Complex",0.3,3,10,"F3",0.9712,0.9831,0.8391
"351","Complex",0.3,5,1,"F1",0.9787,0.9935,0.8308
"352","Complex",0.3,5,1,"F2",0.9765,0.99,0.8251
"353","Complex",0.3,5,1,"F3",0.9733,0.9824,0.7898
"354","Complex",0.3,5,1,"F4",0.9782,0.9878,0.8031
"355","Complex",0.3,5,1,"F5",0.9791,0.9926,0.8567
"356","Complex",0.3,5,2,"F1",0.9749,0.9922,0.8589
"357","Complex",0.3,5,2,"F2",0.9705,0.9823,0.7969
"358","Complex",0.3,5,2,"F3",0.9763,0.9921,0.8425
"359","Complex",0.3,5,2,"F4",0.9772,0.9893,0.8267
"360","Complex",0.3,5,2,"F5",0.9737,0.9863,0.8213
"361","Complex",0.3,5,3,"F1",0.9786,0.9917,0.8338
"362","Complex",0.3,5,3,"F2",0.9807,0.9929,0.8066
"363","Complex",0.3,5,3,"F3",0.9809,0.9903,0.8026
"364","Complex",0.3,5,3,"F4",0.9801,0.9925,0.8363
"365","Complex",0.3,5,3,"F5",0.9808,0.9919,0.8212
"366","Complex",0.3,5,4,"F1",0.977,0.9888,0.8295
"367","Complex",0.3,5,4,"F2",0.9765,0.9917,0.8434
"368","Complex",0.3,5,4,"F3",0.9767,0.9917,0.8476
"369","Complex",0.3,5,4,"F4",0.9763,0.9898,0.8319
"370","Complex",0.3,5,4,"F5",0.9798,0.9923,0.7961
"371","Complex",0.3,5,5,"F1",0.9761,0.9895,0.835
"372","Complex",0.3,5,5,"F2",0.9781,0.9934,0.8436
"373","Complex",0.3,5,5,"F3",0.9743,0.9899,0.8318
"374","Complex",0.3,5,5,"F4",0.9766,0.9886,0.8106
"375","Complex",0.3,5,5,"F5",0.9807,0.993,0.8225
"376","Complex",0.3,5,6,"F1",0.9761,0.99,0.8541
"377","Complex",0.3,5,6,"F2",0.975,0.9834,0.782
"378","Complex",0.3,5,6,"F3",0.9799,0.9952,0.8447
"379","Complex",0.3,5,6,"F4",0.9763,0.987,0.8406
"380","Complex",0.3,5,6,"F5",0.9754,0.98,0.7735
"381","Complex",0.3,5,7,"F1",0.9753,0.9893,0.8349
"382","Complex",0.3,5,7,"F2",0.9756,0.9877,0.8285
"383","Complex",0.3,5,7,"F3",0.9757,0.9866,0.8095
"384","Complex",0.3,5,7,"F4",0.9761,0.9903,0.8463
"385","Complex",0.3,5,7,"F5",0.9745,0.9877,0.8395
"386","Complex",0.3,5,8,"F1",0.9746,0.9896,0.8217
"387","Complex",0.3,5,8,"F2",0.975,0.9859,0.811
"388","Complex",0.3,5,8,"F3",0.9769,0.9905,0.8374
"389","Complex",0.3,5,8,"F4",0.9699,0.9822,0.7929
"390","Complex",0.3,5,8,"F5",0.9782,0.9926,0.8421
"391","Complex",0.3,5,9,"F1",0.9772,0.9918,0.8371
"392","Complex",0.3,5,9,"F2",0.979,0.9917,0.8297
"393","Complex",0.3,5,9,"F3",0.9744,0.9837,0.7881
"394","Complex",0.3,5,9,"F4",0.979,0.9926,0.8505
"395","Complex",0.3,5,9,"F5",0.9812,0.994,0.8304
"396","Complex",0.3,5,10,"F1",0.9771,0.9916,0.8359
"397","Complex",0.3,5,10,"F2",0.976,0.99,0.8278
"398","Complex",0.3,5,10,"F3",0.9764,0.9877,0.8121
"399","Complex",0.3,5,10,"F4",0.9751,0.9857,0.8068
"400","Complex",0.3,5,10,"F5",0.976,0.9898,0.8206
"401","Complex",0.6,3,1,"F1",0.9735,0.989,0.8769
"402","Complex",0.6,3,1,"F2",0.9692,0.9873,0.887
"403","Complex",0.6,3,1,"F3",0.9688,0.9912,0.8962
"404","Complex",0.6,3,2,"F1",0.9698,0.9912,0.8783
"405","Complex",0.6,3,2,"F2",0.967,0.9799,0.8701
"406","Complex",0.6,3,2,"F3",0.971,0.9838,0.8779
"407","Complex",0.6,3,3,"F1",0.9663,0.9882,0.8857
"408","Complex",0.6,3,3,"F2",0.9699,0.9868,0.8677
"409","Complex",0.6,3,3,"F3",0.9639,0.9842,0.8838
"410","Complex",0.6,3,4,"F1",0.9722,0.9868,0.8574
"411","Complex",0.6,3,4,"F2",0.9709,0.9861,0.8785
"412","Complex",0.6,3,4,"F3",0.9695,0.9806,0.8801
"413","Complex",0.6,3,5,"F1",0.9697,0.9827,0.8672
"414","Complex",0.6,3,5,"F2",0.969,0.9878,0.8785
"415","Complex",0.6,3,5,"F3",0.9693,0.9879,0.8976
"416","Complex",0.6,3,6,"F1",0.9691,0.991,0.8823
"417","Complex",0.6,3,6,"F2",0.9657,0.9813,0.8639
"418","Complex",0.6,3,6,"F3",0.9634,0.9902,0.9034
"419","Complex",0.6,3,7,"F1",0.9708,0.9893,0.8774
"420","Complex",0.6,3,7,"F2",0.969,0.9899,0.8952
"421","Complex",0.6,3,7,"F3",0.9727,0.9898,0.8837
"422","Complex",0.6,3,8,"F1",0.967,0.9876,0.8859
"423","Complex",0.6,3,8,"F2",0.9713,0.9899,0.8738
"424","Complex",0.6,3,8,"F3",0.9671,0.9858,0.8869
"425","Complex",0.6,3,9,"F1",0.9702,0.99,0.8913
"426","Complex",0.6,3,9,"F2",0.9726,0.9883,0.8565
"427","Complex",0.6,3,9,"F3",0.9689,0.9812,0.8678
"428","Complex",0.6,3,10,"F1",0.9614,0.9899,0.8967
"429","Complex",0.6,3,10,"F2",0.9747,0.9888,0.8714
"430","Complex",0.6,3,10,"F3",0.9709,0.9889,0.8886
"431","Complex",0.6,5,1,"F1",0.9677,0.9806,0.8744
"432","Complex",0.6,5,1,"F2",0.9724,0.9883,0.8618
"433","Complex",0.6,5,1,"F3",0.963,0.9841,0.8686
"434","Complex",0.6,5,1,"F4",0.9671,0.9822,0.8504
"435","Complex",0.6,5,1,"F5",0.9714,0.991,0.8518
"436","Complex",0.6,5,2,"F1",0.9744,0.9898,0.8503
"437","Complex",0.6,5,2,"F2",0.9689,0.9808,0.8161
"438","Complex",0.6,5,2,"F3",0.9724,0.9905,0.8687
"439","Complex",0.6,5,2,"F4",0.9693,0.9851,0.8612
"440","Complex",0.6,5,2,"F5",0.9709,0.9898,0.8498
"441","Complex",0.6,5,3,"F1",0.9735,0.9873,0.8704
"442","Complex",0.6,5,3,"F2",0.9744,0.9827,0.8352
"443","Complex",0.6,5,3,"F3",0.9749,0.9887,0.862
"444","Complex",0.6,5,3,"F4",0.9732,0.9861,0.8375
"445","Complex",0.6,5,3,"F5",0.968,0.9837,0.8514
"446","Complex",0.6,5,4,"F1",0.9724,0.9887,0.8542
"447","Complex",0.6,5,4,"F2",0.9738,0.988,0.8404
"448","Complex",0.6,5,4,"F3",0.9717,0.9908,0.8562
"449","Complex",0.6,5,4,"F4",0.9732,0.9887,0.8546
"450","Complex",0.6,5,4,"F5",0.9722,0.9877,0.8699
"451","Complex",0.6,5,5,"F1",0.9702,0.9848,0.8455
"452","Complex",0.6,5,5,"F2",0.9621,0.9763,0.8386
"453","Complex",0.6,5,5,"F3",0.9695,0.9871,0.8398
"454","Complex",0.6,5,5,"F4",0.9742,0.9898,0.8693
"455","Complex",0.6,5,5,"F5",0.9688,0.9867,0.8486
"456","Complex",0.6,5,6,"F1",0.9685,0.979,0.84
"457","Complex",0.6,5,6,"F2",0.9732,0.9879,0.8564
"458","Complex",0.6,5,6,"F3",0.9691,0.9832,0.8589
"459","Complex",0.6,5,6,"F4",0.9756,0.988,0.8542
"460","Complex",0.6,5,6,"F5",0.9747,0.988,0.8451
"461","Complex",0.6,5,7,"F1",0.9701,0.9886,0.8545
"462","Complex",0.6,5,7,"F2",0.9594,0.9765,0.8598
"463","Complex",0.6,5,7,"F3",0.9739,0.9903,0.866
"464","Complex",0.6,5,7,"F4",0.968,0.9865,0.8737
"465","Complex",0.6,5,7,"F5",0.9588,0.9808,0.8435
"466","Complex",0.6,5,8,"F1",0.9721,0.9896,0.8633
"467","Complex",0.6,5,8,"F2",0.973,0.9892,0.8715
"468","Complex",0.6,5,8,"F3",0.9732,0.9828,0.8246
"469","Complex",0.6,5,8,"F4",0.973,0.9884,0.8595
"470","Complex",0.6,5,8,"F5",0.9689,0.9811,0.8272
"471","Complex",0.6,5,9,"F1",0.9698,0.983,0.8607
"472","Complex",0.6,5,9,"F2",0.974,0.988,0.8447
"473","Complex",0.6,5,9,"F3",0.9723,0.9871,0.8558
"474","Complex",0.6,5,9,"F4",0.9655,0.9816,0.8486
"475","Complex",0.6,5,9,"F5",0.9758,0.9915,0.8679
"476","Complex",0.6,5,10,"F1",0.9741,0.983,0.845
"477","Complex",0.6,5,10,"F2",0.9713,0.984,0.8466
"478","Complex",0.6,5,10,"F3",0.9784,0.9912,0.8779
"479","Complex",0.6,5,10,"F4",0.9777,0.9908,0.8712
"480","Complex",0.6,5,10,"F5",0.9717,0.9839,0.8507
